model,metric,value,frames,detail
clip,clip_cosine,0.8320340514183044,"0,4","ref=0, cmp=1"
clip,clip_cosine,0.8637770414352417,"0,8","ref=0, cmp=2"
clip,clip_cosine,0.8921008110046387,"0,12","ref=0, cmp=3"
clip,clip_cosine,0.9730707406997681,"0,16","ref=0, cmp=4"
clip,clip_cosine,0.8652947545051575,"0,20","ref=0, cmp=5"
clip,clip_cosine,0.8593080639839172,"0,24","ref=0, cmp=6"
clip,clip_cosine,0.8558886051177979,"0,28","ref=0, cmp=7"
clip,clip_cosine,0.9150132536888123,"0,32","ref=0, cmp=8"
clip,clip_cosine,0.9461894035339355,"0,36","ref=0, cmp=9"
clip,clip_cosine,0.7857760190963745,"0,40","ref=0, cmp=10"
clip,clip_cosine,0.8896578550338745,"0,44","ref=0, cmp=11"
clip,clip_cosine,0.9380581378936768,"0,48","ref=0, cmp=12"
clip,clip_cosine,0.9429113268852234,"0,52","ref=0, cmp=13"
clip,clip_cosine,0.8130366206169128,"0,56","ref=0, cmp=14"
clip,clip_cosine,0.8242443799972534,"0,60","ref=0, cmp=15"
clip,clip_cosine_mean,0.8797573447227478,"0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60",mean of CLIP cosine similarity against reference frame 0
cosine,cosine_pair,0.9539597630500793,"0,4","ref=0, cmp=1"
cosine,cosine_pair,0.9564774036407471,"0,8","ref=0, cmp=2"
cosine,cosine_pair,0.9638950228691101,"0,12","ref=0, cmp=3"
cosine,cosine_pair,0.9869639277458191,"0,16","ref=0, cmp=4"
cosine,cosine_pair,0.9597903490066528,"0,20","ref=0, cmp=5"
cosine,cosine_pair,0.953396737575531,"0,24","ref=0, cmp=6"
cosine,cosine_pair,0.9589067697525024,"0,28","ref=0, cmp=7"
cosine,cosine_pair,0.972079336643219,"0,32","ref=0, cmp=8"
cosine,cosine_pair,0.9757324457168579,"0,36","ref=0, cmp=9"
cosine,cosine_pair,0.9477813839912415,"0,40","ref=0, cmp=10"
cosine,cosine_pair,0.965114414691925,"0,44","ref=0, cmp=11"
cosine,cosine_pair,0.9704614877700806,"0,48","ref=0, cmp=12"
cosine,cosine_pair,0.9639986157417297,"0,52","ref=0, cmp=13"
cosine,cosine_pair,0.9486640095710754,"0,56","ref=0, cmp=14"
cosine,cosine_pair,0.9589928984642029,"0,60","ref=0, cmp=15"
cosine,cosine_mean,0.9624143838882446,"0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60",mean of cosine similarity against reference frame 0
lpips,lpips,0.401534765958786,"0,4","ref=0, cmp=1"
lpips,lpips,0.40032389760017395,"0,8","ref=0, cmp=2"
lpips,lpips,0.34528160095214844,"0,12","ref=0, cmp=3"
lpips,lpips,0.14530782401561737,"0,16","ref=0, cmp=4"
lpips,lpips,0.36920925974845886,"0,20","ref=0, cmp=5"
lpips,lpips,0.40300410985946655,"0,24","ref=0, cmp=6"
lpips,lpips,0.37601253390312195,"0,28","ref=0, cmp=7"
lpips,lpips,0.2887735068798065,"0,32","ref=0, cmp=8"
lpips,lpips,0.21901831030845642,"0,36","ref=0, cmp=9"
lpips,lpips,0.4065527319908142,"0,40","ref=0, cmp=10"
lpips,lpips,0.3379897475242615,"0,44","ref=0, cmp=11"
lpips,lpips,0.2793807089328766,"0,48","ref=0, cmp=12"
lpips,lpips,0.30195876955986023,"0,52","ref=0, cmp=13"
lpips,lpips,0.4228278398513794,"0,56","ref=0, cmp=14"
lpips,lpips,0.35283008217811584,"0,60","ref=0, cmp=15"
lpips,lpips_mean,0.3366670459508896,"0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60",mean LPIPS distance vs reference frame 0
psnr,psnr_pair,11.214487075805664,"0,4","ref=0, cmp=1"
psnr,psnr_pair,11.4508056640625,"0,8","ref=0, cmp=2"
psnr,psnr_pair,12.48052978515625,"0,12","ref=0, cmp=3"
psnr,psnr_pair,17.13894271850586,"0,16","ref=0, cmp=4"
psnr,psnr_pair,11.858120918273926,"0,20","ref=0, cmp=5"
psnr,psnr_pair,11.168367385864258,"0,24","ref=0, cmp=6"
psnr,psnr_pair,11.80421257019043,"0,28","ref=0, cmp=7"
psnr,psnr_pair,13.637700080871582,"0,32","ref=0, cmp=8"
psnr,psnr_pair,14.256793022155762,"0,36","ref=0, cmp=9"
psnr,psnr_pair,10.758102416992188,"0,40","ref=0, cmp=10"
psnr,psnr_pair,12.695016860961914,"0,44","ref=0, cmp=11"
psnr,psnr_pair,13.417433738708496,"0,48","ref=0, cmp=12"
psnr,psnr_pair,12.51097297668457,"0,52","ref=0, cmp=13"
psnr,psnr_pair,10.782617568969727,"0,56","ref=0, cmp=14"
psnr,psnr_pair,11.908961296081543,"0,60","ref=0, cmp=15"
psnr,psnr_mean,12.472204271952311,"0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60",mean of all pairwise scores against reference frame 0
ssim,ssim_pair,0.7412267327308655,"0,4","ref=0, cmp=1"
ssim,ssim_pair,0.7500781416893005,"0,8","ref=0, cmp=2"
ssim,ssim_pair,0.7432023286819458,"0,12","ref=0, cmp=3"
ssim,ssim_pair,0.7867783308029175,"0,16","ref=0, cmp=4"
ssim,ssim_pair,0.7492785453796387,"0,20","ref=0, cmp=5"
